=== SEGMENT MANIFEST ===
VIDEO_ID: POV-2026-002
CONTENT_MODE: NAR
TOTAL_SEGMENTS: 212
MANIFEST_HASH: PENDING
=== COLUMNS ===
ID | ROLE | IMG | AUD | DUR | SUMMARY
NAR-001 | TITLE | YES | NO | 2.5 | Black Market Surgeon Title Card
NAR-002 | HEADER | YES | NO | 2.0 | LEVEL 1: DISGRACED ATTENDING
NAR-003 | BODY | YES | YES | auto | You perform triple-bypass with vodka and kitchen knife
NAR-004 | BODY | YES | YES | auto | You are technically unemployed and looking at medical debt
NAR-005 | BODY | YES | YES | auto | St. Jude's hospital looming in the distance
NAR-006 | BODY | YES | YES | auto | Flashback to memorizing liver geometry
NAR-007 | BODY | YES | YES | auto | Claire's clinic debt hits 1.2 million dollars
NAR-008 | BODY | YES | YES | auto | The liquidation notice sitting on the kitchen table
NAR-009 | BODY | YES | YES | auto | Claire looking pale in her small apartment
NAR-010 | BODY | YES | YES | auto | Stolen liver container in your hands
NAR-011 | BODY | YES | YES | auto | Security guards approaching in the hospital hallway
NAR-012 | BODY | YES | YES | auto | Your medical license being shredded
NAR-013 | BODY | YES | YES | auto | Walking out of the hospital for the last time
NAR-014 | BODY | YES | YES | auto | The weight of the debt and the lack of options
NAR-015 | BODY | YES | YES | auto | Sitting in a dive bar staring at your steady hands
NAR-016 | BODY | YES | YES | auto | Ethics are a luxury for the wealthy
NAR-017 | BODY | YES | YES | auto | Thinking about the donor forms you falsified
NAR-018 | BODY | YES | YES | auto | Claire's breathing getting heavier in her sleep
NAR-019 | BODY | YES | YES | auto | A predatory VC firm logo on a legal letter
NAR-020 | BODY | YES | YES | auto | The cost of a human life in cold hard cash
NAR-021 | BODY | YES | YES | auto | Staring at your titanium scalpel on the bar counter
NAR-022 | BODY | YES | YES | auto | You made your choice for family
NAR-023 | HEADER | YES | NO | 2.0 | LEVEL 2: GUTTER MEDIC
NAR-024 | BODY | YES | YES | auto | Marek finds you in the dive bar
NAR-025 | BODY | YES | YES | auto | Marek hands you a burner phone and ten thousand dollars
NAR-026 | BODY | YES | YES | auto | The smell of damp concrete and stale cigarettes
NAR-027 | BODY | YES | YES | auto | Following Marek into a dark basement
NAR-028 | BODY | YES | YES | auto | A gunman lying on a blood-stained pool table
NAR-029 | BODY | YES | YES | auto | Sticking the needle into the back-alley crossmatch
NAR-030 | BODY | YES | YES | auto | The Hippocratic Oath is just a marketing slogan now
NAR-031 | BODY | YES | YES | auto | Stitching a jagged entry wound by flashlight
NAR-032 | BODY | YES | YES | auto | Blood on your pristine white sneakers
NAR-033 | BODY | YES | YES | auto | Marek watching you with a hungry expression
NAR-034 | BODY | YES | YES | auto | You tell yourself it's just this once
NAR-035 | BODY | YES | YES | auto | Handing back the bloody pliers to Marek
NAR-036 | BODY | YES | YES | auto | Counting the dirty hundred-dollar bills
NAR-037 | BODY | YES | YES | auto | The distant sound of sirens in the city night
